PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,,7.25,S
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,,71.2833,C
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,,7.925,S
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803.0,53.1,S
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450.0,8.05,S
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909.0,21.075,S
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742.0,11.1333,S
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736.0,30.0708,C
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,,16.7,S
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,,8.05,S
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082.0,31.275,S
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706.0,16.0,S
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865.0,26.0,S
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923.0,8.0292,Q
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788.0,35.5,S
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077.0,31.3875,S
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950.0,263.0,S
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,,27.7208,C
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,,10.5,S
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651.0,11.2417,C
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546.0,9.475,S
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668.0,21.0,S
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,,41.5792,C
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958.0,7.8792,Q
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237.0,17.8,S
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295.0,39.6875,S
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,,7.8,S
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,,76.7292,C
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926.0,26.0,S
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509.0,61.9792,C
